prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,prej_8,prej_9,prej_10,prej_11,prej_12,prej_13,prej_14,prej_15,prej_16,prej_17,prej_18,prej_19,prej_20,prej_21,prej_22,prej_23,prej_24,prej_25,prej_26,prej_27,prej_28,prej_29,prej_30,prej_31,prej_32,prej_33,prej_34,prej_35,prej_36,prej_37,prej_38,prej_39,prej_40,prej_41,prej_42,prej_43,prej_44,prej_45,prej_46,prej_47,prej_48,prej_49,prej_50,prej_51,prej_52,prej_53,prej_54,prej_55,prej_56,prej_57,prej_58,prej_59,prej_60,prej_61,prej_62,prej_63,prej_64,prej_65,prej_66,prej_67,prej_68,prej_69,prej_70,prej_71,prej_72,prej_73,prej_74,prej_75,prej_76,prej_77,prej_78,prej_79,prej_80,prej_81,prej_82,prej_83,prej_84,prej_85,prej_86,prej_87,prej_88,prej_89,prej_90,prej_91,prej_92,prej_93,prej_94,prej_95,prej_96,prej_97,prej_98,prej_99,prej_100,prej_101,prej_102,prej_103,prej_104,prej_105,prej_106,prej_107,prej_108,prej_109,prej_110,prej_111,prej_112,prej_113,prej_114,prej_115,prej_116,prej_117,prej_118,prej_119,prej_120,accept_1,accept_2,accept_3,accept_4,accept_5,accept_6,accept_7,accept_8,accept_9,accept_10,accept_11,accept_12,accept_13,accept_14,accept_15,accept_16,accept_17,accept_18,accept_19,accept_20,accept_21,accept_22,accept_23,accept_24,accept_25,accept_26,accept_27,accept_28,accept_29,accept_30,accept_31,accept_32,accept_33,accept_34,accept_35,accept_36,accept_37,accept_38,accept_39,accept_40,accept_41,accept_42,accept_43,accept_44,accept_45,accept_46,accept_47,accept_48,accept_49,accept_50,accept_51,accept_52,accept_53,accept_54,accept_55,accept_56,accept_57,accept_58,accept_59,accept_60,accept_61,accept_62,accept_63,accept_64,accept_65,accept_66,accept_67,accept_68,accept_69,accept_70,accept_71,accept_72,accept_73,accept_74,accept_75,accept_76,accept_77,accept_78,accept_79,accept_80,accept_81,accept_82,accept_83,accept_84,accept_85,accept_86,accept_87,accept_88,accept_89,accept_90,accept_91,accept_92,accept_93,accept_94,accept_95,accept_96,accept_97,accept_98,accept_99,accept_100,accept_101,accept_102,accept_103,accept_104,accept_105,accept_106,accept_107,accept_108,accept_109,accept_110,accept_111,accept_112,accept_113,accept_114,accept_115,accept_116,accept_117,accept_118,accept_119,accept_120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,0,,,,,0,,,0,,,8,,,,,0,,,0,,0,0,,,,,,70.4,,0,,0,,0,,,,,,,,,,,,,,,,0,0,0,,,,,69.7,0,,,0,0,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,3.7,,,0,,,,0,,,
,,,,,,,,,,,,,100,,,,,,100,100,,,,50.7,,22.4,100,,100,,,,,,,,,,,,,,,,100,,,87.7,,,,99.9,100,,,,,100,,,100,,100,100,,,96.6,,,100,,85.1,,,100,,,67.7,,61.5,,50.6,86.9,,,,,,,,,,,,,,,100,,,,100,,,100,,,,,,,51.8,100,51.8,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79.3,,,,,,,,,,,,,91.4,100,,100,,100,,19.3,,,,,,100,,100,,,90.6,,,,,,,,22.3,100,,,100,100,,,,52.8,,,,,,,,100,100,,,100,100,,,,,,,,,,,,,100,100,,,,100,,,,,74.2,100,,,,,0,,,0,,,,,,,100,,,100,,,,,100,,53.9,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,,100,,9.2,,,,,,3.7,17.3,,,,,,,,,,,,50,,,,,,,,,,,,,,17,,,,33.9,,73.8,,,,,,,,,80.7,,100,99.9,,,83.7,,,20,48,,47.7,,,,,,,,97.2,100,,,,,,,88.7,85.1,,98.2,,,,,,78.3,,2.1,,,90.6,,,,,,,,82.5,,91.1,,100,,,,100,,100,,,91.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8,,,,,,,,,,,,,,,69,,,,,89.9,,61.5,,,52.7,0,37.2,,,,,,100,99.6,,,,,,,96.5,,,78.2,70.3,,80,,,,,,67.3,,1.4,,,,0,,,65.8,,77.3,,69.2,,84.5,56.2,75.2,,,,,85.6,,,,0.8,,,,,,,,,62.4,,89.3,85.8,91.3,,,,,,,,,,66.5,,,,,,98.9,
,,,,,,,51,,,55.5,63.2,38.9,,,,,43.2,56.7,,,39.5,,,64.4,,,52,,51.7,,,,44.8,,,,,53.8,,,63.5,,,53.5,,,,,,,,67.1,,,,,,,43.2,38.4,,64.7,,,,,,,,,,,,,39,,,,39.5,,,43.2,30.8,,,73.8,,,41,,,,,,,,48.9,,,,,,45.1,,35.1,,,48,,,,,,,,58.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,26.6,,,82.5,,99.3,,,2.8,75.6,,,,,25.4,,89.3,73.2,79.9,,,,,,,10.1,,,90.8,,,,,,39.3,56.3,,60,,,,,,,55.1,,,,72.5,51,,48.2,100,,,,,64.6,,,48.7,,,,,41.5,,,,,,35.8,81.3,,,,,,100,,,30.3,,,,,,,,7.5,,52.3,,,,,21.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,0,100,,,,,0,,,,,,100,,,0,,,,,,,,,,,,,,,100,,0,30,,,,0,,,,0,0,,,,,,,,0,,,,,,,,,100,,0,,100,,,0,,,,50,,,,0,,0,0,,100,70,,,,,,0,,,,0,,0,,,,0,,,60,10,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,,,,81.2,,,,,,,,,,,,,,,100,,,,76,,,,,,,,,,,,,,,,,,,,,,,41.7,66.6,,29.8,41.7,,,,,44.1,,46.2,,,,,,,,,,19.4,64.5,51.4,22.7,30,,,32.2,,,,,61.4,,68.1,,,,54.4,77.3,,,87.3,,30.1,94,22.1,,39,,,,,,,,,,,,,69.6,,,50.4,77.6,38,,26.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,,61.5,,,,,,,,0,0,,,,2.5,,,,,0,,,,,,,,5.2,0,,,,,,,,,,,0,,0,3,0,,,,,0,,,,,,,0,,,0,,0,,,,,0,,,0,,,,,0,,,,,0,0,,,,92,,12.5,,,,,,,,,,,,,0,,,,,16.2,6.5,,67,,,,,,0,3.5
,,,,,,,39.6,27.3,,,69,79.3,,2.3,,,,,,,,,,,,,,,,,,,,72.8,,,,,,45.1,,,,89.4,44.8,,38.5,60.8,,,,,,,47,,,41.4,,,,,,63.5,,,30.8,,,,,,,80.6,63.2,,,,68.9,,,,,,,,36.8,,37.9,,,19.6,,,0.7,85.1,,,72,,79.4,,,,84.9,78.9,71.5,,,,,,,,19.7,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100,100,100,,0,16.9,,,56.8,,,,,,,100,,,,2.3,,,,,,,,,,3.4,,,0,,,,,,100,,,56.1,,,3.8,55.2,,,,,,,,,,,,17.7,,,,55.4,,100,,0,,,,,,100,,100,,,100,54.9,,,,,52.3,,,,,54.9,,,100,,,100,,,53.8,,100,,,,100,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.9,81.1,73,54.9,,,,,,67,29.7,,,,66.8,,,,,,,21,72.8,,,73.2,74.9,,,,72.5,,66.9,,,,3,2.3,2,,,,,76.3,,,,,,,,,,,,,84.8,,,79.9,,77.9,,,,,,,,15.6,2.1,,,74.5,,,,,,,,,,,75.9,,,72.7,,,,,,,,,,,,95.6,,,,,85.5,,18.3,,,4.8,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.8,,,,,83,,15.6,,0,,,,,0,,,,,,,,0,,,,,92.4,,,91,,35.5,81,,,0,,,,,,90.1,61.3,,,89.7,38.5,,79,,,,,,,,87.5,87.7,,,,,,,24.9,,,,,,88.9,,,79.3,87.7,,,,,,84.4,,,,,,85.6,,,,,4.6,100,91.3,,,,86.6,,,,,,,86.2,,,,,,,,,,,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.2,14.8,,,,,74.6,,,,80,,87.2,82.5,,59.3,,,87.6,,,,3.7,,70,,,,,,84.5,,,,80.1,,,74.1,,,,39.7,,,,,,71.3,,,,,,81.8,,,85.4,,82.1,,,64.5,85.1,,,,,,,,,,71.7,,,83.9,,,,81,,,45.8,,81.3,,64.8,85.9,73,,,,,80,,,,,,,,,,,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,,,,,,,100,,1.3,,,0,,,,5.1,0,,3.8,3.1,,1.5,,0,100,,,,,,,97.5,,4.2,,,,,67.2,,,,,,,,,,0,,,,,8.2,,,7.6,,,,,,,,1,0,,,,,,,2.3,,,,,,,,0,,,,,4.6,,,,,,,0,,,,1.8,0,,,,,,,0,2.4,3.5,,,,,,,,,3.4,,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,100,65.1,,,,,,,,100,,,,5.1,,,,,,,,100,,,,,,,100,84.4,,,,,,,,,,,,0,25.1,,54.8,20,,0,,,,,,5.8,,,,100,,,95.5,,,95.6,,,,86.6,,,5.8,,,100,0,,,,,69.4,90,75.9,,,,,,,,,100,,,5.4,,,,,,0,0,,,,,,,,0,100,,,,,
,,,38.9,,100,4.1,0,,0,,,,54.1,,100,70.1,100,100,,,,,,,,,,,,,,,,,,0,,100,,,13.4,,,41.4,,,,,,,100,,,,,,100,100,100,,,,,,,,66.2,,,,,,,,,,100,15.6,,,,0,,,,,,,,,,0,,,,,,,100,47.6,,,,84.4,,,,64.4,5.9,,,,100,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,0,0,93.2,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,88.7,,100,,,,0,84.6,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,68.5,100,,0,0,,,,,0,,,,,,0,,,,,0,,0,,3,,,,41.4,,61.8,0,,6.5,,,,
,,,,,,,,0,,,,,,0,95.9,,80.6,,,,,0,51,,,,,,,,,,,100,100,,,,0,,,,,,,,,94.1,100,,100,74.4,,,,,100,99.2,,,87.5,90.3,,89.9,50,,,,,,50,,,100,,,,,,50,,,,50.1,,100,,,,,,0,,,,94.5,,,,100,100,,,,,100,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.2,,1,2.8,,,,,,2.7,,,1.1,,,1,,,,1.1,,,,,,1.8,,,1,,3.1,,2,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,2,1,,,1,,,,3.1,,,,,,,,,,,,4.8,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,1,,,,,1,1,1,1.3
,,,100,100,100,100,,1,1,,,,,,,,100,,,,,,,,,,,,,,,,,,100,,99.3,,,,,,,,,,1,100,100,1,100,,,,,,100,,100,,,100,,,,,,50.4,,,,,,,,,,100,,,,,1,,,,,,1,1,,,,,,,,,,,100,100,,,100,,,,,100,,100,100,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,50.6,,,100,,100,,,,,,,,79.9,,,,,,,,,,,,100,,,100,,,,,80.6,,100,,,80.3,,,79.7,,,100,,100,,,,100,,,,,,100,100,,,,80.4,,,80.1,,,,,,,80.4,,,100,,,,,,,,,,80.1,1.4,,100,,,91,,,,,,,90.1,100,,100,,,,,,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,93.5,,,,,,,,96.2,95.9,,75.8,59.4,,,,,46.2,,,49.6,,3.4,,,,,,,,,85.5,,,,,12.1,,,,55.4,81.1,,,,,62.3,,77.9,,,69.2,,87.7,89.7,,,,,,,,,,21,,,,,,,,,,,,,,,88.9,,92.8,,,18.7,2.3,51.7,89,,46.5,,,43.5,,,,,,,38.7,30.3,,,,,,,84.8,,,,,,,,
61.8,,,,,,,43,4.4,,,,,,0,,48.3,,,,,55.5,,8.9,73,69.6,22.4,,,,,91.4,60.4,,,58.2,6.6,,,39,,48.5,,50,,,,,,,,,,,,,,,,,,,60.3,,,40.1,,,41.1,,,,73.5,,,,,,81.3,,,,,,,56.1,89.7,,65.5,42.4,3.9,,,,,,,31.5,,42.7,,,,,,,,,,,,,,,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,4.8,24.1,,,,0,0,,,0,,,,,63.1,,50.8,0,,,,,,16.9,,,,,,77,,,,,,,55.6,,,1.4,,55.1,,65.6,,,,38.2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,,,,,,,,,,,,,,,,,62.8,,,100,,,72.1,,,,100,44.6,,0,24.4,8,0,,,4.8,81.8,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.7,,,,,,,26.1,3,,,,,71,,,,,,,,69.3,,100,10.1,90.4,,85.8,100,,,,40.6,,,,,,,1.5,1.3,,,,,79.7,,,,,10.1,96.8,90.4,,,,71,70.6,,100,,,,,,,,20.6,,,,,,9.9,,,,,60.7,,,,,30.7,,,75.5,,,,,32.8,,,100,0.3,,,,50.4,,,,,,,,,,,,,,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
